strategy,id,lo,hi
baseline,4.437288410445347,3.539848301061798,5.060805634725646
tsce_t0,4.732269292192958,3.617673107653392,5.358867856483927
tsce_t0.5,4.717059124608456,3.7657040724875515,5.3949380926633745
tsce_t1,4.715609336414288,3.6847643237108048,5.455458519659055
