strategy,id,lo,hi
baseline,5.045016749055375,4.041991439312554,5.492311022576467
cot,6.351537705062056,4.800186871266651,7.384268189786822
cot_tsce,6.119760357253538,4.664607647776347,7.048214246384552
refine,5.00340215683024,4.153516595185594,5.515180464440739
refine_tsce,5.415062861421262,4.407832492709625,5.974063383416308
tsce,5.183601720749179,4.2218314435996644,5.6468451767869485
