run_dir,id,ok,pred_ok,token_count,char_length
2025-09-09_23-54-29,1,True,0.5725760940050999,11,78
2025-09-09_23-54-29,2,True,0.41271321134247557,16,127
2025-09-09_23-54-29,3,True,0.5530195918896944,5,34
2025-09-09_23-54-29,4,True,0.6669652353217488,17,171
2025-09-09_23-54-29,5,False,0.6869454113742935,10,91
2025-09-09_23-54-29,6,True,0.5697226089348868,9,121
2025-09-09_23-54-29,7,True,0.7368545552726505,16,159
2025-09-09_23-54-29,8,True,0.5637512419153541,6,41
2025-09-09_23-54-29,9,False,0.2956966334998079,14,111
2025-09-09_23-54-29,10,True,0.57253262438404,10,85
2025-09-09_23-54-29,11,True,0.45890518114528994,16,143
2025-09-09_23-54-29,12,True,0.5054679807868842,9,71
2025-09-09_23-54-29,13,True,0.44972975827540496,11,87
2025-09-09_23-54-29,14,False,0.4365960241101199,10,77
2025-09-09_23-54-29,15,True,0.5964883359532817,5,43
2025-09-09_23-54-29,17,True,0.6204526361875803,4,33
2025-09-09_23-54-29,16,True,0.7432427860129885,13,106
2025-09-09_23-54-29,18,True,0.40689429253315423,16,143
2025-09-09_23-54-29,19,False,0.2981292635863267,14,111
2025-09-09_23-54-29,20,False,0.46082697780232307,13,101
2025-09-09_23-54-29,21,True,0.437142022660705,6,47
2025-09-09_23-54-29,22,True,0.4643614414883559,12,88
2025-09-09_23-54-29,23,True,0.6552823202745616,12,124
2025-09-09_23-54-29,25,True,0.5510740203457088,5,43
2025-09-09_23-54-29,24,False,0.3846755492300391,7,56
2025-09-09_23-54-29,27,True,0.6818968683522384,15,164
2025-09-09_23-54-29,28,True,0.4583703277944198,9,71
2025-09-09_23-54-29,29,True,0.5869337405498091,6,42
2025-09-09_23-54-29,30,True,0.5304803330332262,7,56
2025-09-09_23-54-29,31,True,0.49887920642595135,11,107
2025-09-09_23-54-29,32,True,0.5473185312464343,5,44
2025-09-09_23-54-29,33,True,0.5909826370897795,5,37
2025-09-09_23-54-29,34,True,0.5175902432906391,6,52
2025-09-09_23-54-29,35,True,0.39951845526885393,16,148
2025-09-09_23-54-29,36,True,0.7225952505125051,18,179
2025-09-09_23-54-29,37,True,0.5158363171602635,8,63
2025-09-09_23-54-29,38,False,0.41410396438973485,13,116
2025-09-09_23-54-29,26,False,0.46624348893865336,8,63
2025-09-09_23-54-29,39,False,0.4271151434905541,13,90
2025-09-09_23-54-29,40,True,0.6239799123902894,6,49
2025-09-09_23-54-29,41,True,0.7594134157692443,15,134
2025-09-09_23-54-29,42,True,0.4511723029207373,14,110
2025-09-09_23-54-29,43,False,0.3519266015282175,12,95
2025-09-09_23-54-29,44,True,0.7340551167826713,8,87
2025-09-09_23-54-29,45,False,0.2889684561836286,17,135
2025-09-09_23-54-29,46,True,0.774974238335001,6,65
2025-09-09_23-54-29,47,True,0.7940312821176683,12,107
2025-09-09_23-54-29,48,False,0.663198186780486,13,116
2025-09-09_23-54-29,49,True,0.41128855605186104,12,95
2025-09-09_23-54-29,50,True,0.6826255481413579,16,175
2025-09-09_23-54-29,51,True,0.7940312821176683,12,107
2025-09-09_23-54-29,52,True,0.6164573442901781,4,33
2025-09-09_23-54-29,54,True,0.5854851151199959,5,39
2025-09-09_23-54-29,53,False,0.4526301068485346,15,108
2025-09-09_23-54-29,56,True,0.6204526361875803,4,33
2025-09-09_23-54-29,55,True,0.7940312821176683,12,107
2025-09-09_23-54-29,58,True,0.5510740203457088,5,43
2025-09-09_23-54-29,57,True,0.6818968683522384,15,164
2025-09-09_23-54-29,59,False,0.31217963331594806,12,95
2025-09-09_23-54-29,60,False,0.5291221591232581,8,55
2025-09-09_23-54-29,62,True,0.5585311440851777,11,78
2025-09-09_23-54-29,61,False,0.29165087702800535,15,149
2025-09-09_23-54-29,63,False,0.35652005337094833,15,133
2025-09-09_23-54-29,64,True,0.4835794499852534,9,79
2025-09-09_23-54-29,65,True,0.5057026464825807,8,63
2025-09-09_23-54-29,67,False,0.5066984137215739,5,38
2025-09-09_23-54-29,68,True,0.5317376798424938,8,66
2025-09-09_23-54-29,69,True,0.7940312821176683,12,107
2025-09-09_23-54-29,70,True,0.745604561907378,16,158
