token,ok_docs,fail_docs,ok_rate,delta
qwertyuiop,27,2,0.9310344827586207,0.23451706982329723
asdfghjk,23,3,0.8846153846153846,0.18809797168006115
qwertyui,30,4,0.8823529411764706,0.18583552824114713
qvthxkz,23,5,0.8214285714285714,0.12491115849324796
qvthric,19,8,0.7037037037037037,0.007186290768380288
qvthlqz,23,12,0.6571428571428571,-0.03937455579246629
jxqvthqk,13,7,0.65,-0.04651741293532341
vqzqvthk,12,10,0.5454545454545454,-0.15106286748077802
