cluster,n,ok,ok_rate,mean_tokens,mean_chars
0,45,40,0.8888888888888888,12.177777777777777,117.86666666666666
1,123,78,0.6341463414634146,10.21951219512195,84.6178861788618
2,33,22,0.6666666666666666,9.181818181818182,69.36363636363636
