strategy,id,lo,hi
baseline,4.819800735883252,3.862501403707881,5.397681015916623
tsce_t0,5.119696577766125,4.097668284646316,5.777145364864071
tsce_t0.5,5.122491665582025,4.142210237272493,5.783477319026547
tsce_t1,5.116926285748687,4.149247587997698,5.7455940717887195
