strategy,id,lo,hi
baseline,5.0606962102384685,4.280488891247134,5.427596916887704
tsce_t0,5.241991334092318,4.359131054123272,5.629181133095604
tsce_t0.5,5.510661025434829,4.6714220853760855,5.781620057090505
tsce_t1,6.016547351879458,5.041540314746865,6.413906093251167
