id,strategy,tokens,latency
56,tsce05,14,0.0
56,tsce1,14,0.0
55,base,161,0.6583767919801176
55,tsce0,56,0.0
55,tsce05,56,0.0
55,tsce1,57,0.0
58,base,71,0.2923633329337463
58,tsce0,14,0.0
58,tsce05,17,0.0
58,tsce1,14,0.0
57,base,105,0.5339216659776866
57,tsce0,40,0.0
57,tsce05,40,0.0
57,tsce1,40,0.0
60,base,34,0.1704355829861015
60,tsce0,5,0.0
60,tsce05,5,0.0
60,tsce1,5,0.0
59,base,105,0.4839223340386525
59,tsce0,40,0.0
59,tsce05,40,0.0
59,tsce1,40,0.0
46,base,813,2.4746292079798877
46,tsce0,486,0.0
46,tsce05,486,0.0
46,tsce1,486,0.0
64,base,37,0.3000116250477731
64,tsce0,5,0.0
64,tsce05,5,0.0
64,tsce1,5,0.0
49,base,813,2.3190393750555813
49,tsce0,486,0.0
49,tsce05,486,0.0
49,tsce1,486,0.0
62,base,161,0.5518512079725042
62,tsce0,58,0.0
62,tsce05,58,0.0
62,tsce1,57,0.0
63,base,105,0.48985591693781316
63,tsce0,40,0.0
63,tsce05,40,0.0
63,tsce1,40,0.0
67,base,34,0.22496925003360957
67,tsce0,5,0.0
67,tsce05,5,0.0
67,tsce1,5,0.0
66,base,105,0.6692088330164552
66,tsce0,40,0.0
66,tsce05,40,0.0
66,tsce1,40,0.0
65,base,105,0.5073610830586404
65,tsce0,40,0.0
65,tsce05,40,0.0
65,tsce1,40,0.0
71,base,34,0.20275475003290921
71,tsce0,5,0.0
71,tsce05,5,0.0
71,tsce1,5,0.0
70,base,34,0.19162008399143815
70,tsce0,5,0.0
70,tsce05,5,0.0
70,tsce1,5,0.0
69,base,123,0.23431558290030807
69,tsce0,84,0.0
69,tsce05,84,0.0
69,tsce1,84,0.0
72,base,105,0.44280170800630003
72,tsce0,40,0.0
72,tsce05,40,0.0
72,tsce1,40,0.0
73,base,105,0.5213358339387923
73,tsce0,40,0.0
73,tsce05,40,0.0
73,tsce1,40,0.0
75,base,71,0.3254826250486076
75,tsce0,14,0.0
75,tsce05,14,0.0
75,tsce1,14,0.0
76,base,71,0.3158009999897331
76,tsce0,16,0.0
76,tsce05,14,0.0
76,tsce1,18,0.0
78,base,71,0.28156995808240026
78,tsce0,14,0.0
78,tsce05,14,0.0
78,tsce1,14,0.0
61,base,813,2.5431988750351593
61,tsce0,486,0.0
61,tsce05,486,0.0
61,tsce1,486,0.0
77,base,115,0.2410821249941364
77,tsce0,89,0.0
77,tsce05,92,0.0
77,tsce1,89,0.0
79,base,169,0.7277217078953981
79,tsce0,60,0.0
79,tsce05,60,0.0
79,tsce1,60,0.0
82,base,34,0.19579537503886968
82,tsce0,5,0.0
82,tsce05,5,0.0
82,tsce1,5,0.0
81,base,71,0.3036708340514451
81,tsce0,14,0.0
81,tsce05,14,0.0
81,tsce1,16,0.0
68,base,813,2.2477715839631855
68,tsce0,486,0.0
68,tsce05,486,0.0
68,tsce1,486,0.0
80,base,166,0.760122666019015
80,tsce0,61,0.0
80,tsce05,61,0.0
80,tsce1,61,0.0
83,base,71,0.294539041002281
83,tsce0,14,0.0
